text,label
I feel that not enough study rooms available.,negative
"Honestly, too many construction disruptions.",negative
wifi keeps disconnecting.,negative
I think loved the lab facilities.,positive
I feel that wifi keeps disconnecting.,negative
"Honestly, admin office is very unresponsive.",negative
"Sadly, parking is always a nightmare.",negative
"In my opinion, clean and modern classrooms.",positive
"In my opinion, loved the lab facilities.",positive
"Honestly, cafeteria food is terrible.",negative
"Honestly, cafeteria food is terrible.",negative
"Overall, the library has excellent resources.",positive
I feel that parking is always a nightmare.,negative
"In my opinion, professors are very supportive.",positive
I feel that wifi keeps disconnecting.,negative
"Sadly, admin office is very unresponsive.",negative
"Sadly, not enough study rooms available.",negative
"Honestly, too many construction disruptions.",negative
I think loved the lab facilities.,positive
"Sadly, admin office is very unresponsive.",negative
"Overall, the library has excellent resources.",positive
the library has excellent resources.,positive
wifi keeps disconnecting.,negative
"Sadly, admin office is very unresponsive.",negative
I think clean and modern classrooms.,positive
"Overall, clean and modern classrooms.",positive
"Honestly, too many construction disruptions.",negative
"Sadly, wifi keeps disconnecting.",negative
"Sadly, too many construction disruptions.",negative
"Sadly, admin office is very unresponsive.",negative
"Overall, great campus food options.",positive
"Sadly, wifi keeps disconnecting.",negative
"In my opinion, professors are very supportive.",positive
"Overall, the library has excellent resources.",positive
cafeteria food is terrible.,negative
clean and modern classrooms.,positive
"Overall, professors are very supportive.",positive
loved the lab facilities.,positive
"Overall, professors are very supportive.",positive
"In my opinion, the library has excellent resources.",positive
I think loved the lab facilities.,positive
loved the lab facilities.,positive
"Honestly, cafeteria food is terrible.",negative
"In my opinion, professors are very supportive.",positive
"In my opinion, clean and modern classrooms.",positive
I think events on campus are well organized.,positive
"Sadly, wifi keeps disconnecting.",negative
"Honestly, cafeteria food is terrible.",negative
I think loved the lab facilities.,positive
"Sadly, parking is always a nightmare.",negative
"Sadly, not enough study rooms available.",negative
loved the lab facilities.,positive
I feel that parking is always a nightmare.,negative
"In my opinion, the library has excellent resources.",positive
"Honestly, too many construction disruptions.",negative
admin office is very unresponsive.,negative
great campus food options.,positive
I think great campus food options.,positive
"Honestly, cafeteria food is terrible.",negative
"Overall, professors are very supportive.",positive
"Honestly, cafeteria food is terrible.",negative
I think professors are very supportive.,positive
great campus food options.,positive
"Honestly, wifi keeps disconnecting.",negative
"Sadly, too many construction disruptions.",negative
loved the lab facilities.,positive
I think clean and modern classrooms.,positive
"Sadly, cafeteria food is terrible.",negative
clean and modern classrooms.,positive
parking is always a nightmare.,negative
"Overall, loved the lab facilities.",positive
I think loved the lab facilities.,positive
"Sadly, wifi keeps disconnecting.",negative
"Honestly, not enough study rooms available.",negative
"In my opinion, great campus food options.",positive
"Honestly, admin office is very unresponsive.",negative
"Overall, the library has excellent resources.",positive
loved the lab facilities.,positive
"Overall, events on campus are well organized.",positive
"Honestly, not enough study rooms available.",negative
I feel that admin office is very unresponsive.,negative
not enough study rooms available.,negative
I think events on campus are well organized.,positive
the library has excellent resources.,positive
"Overall, the library has excellent resources.",positive
I think professors are very supportive.,positive
"In my opinion, the library has excellent resources.",positive
"Overall, events on campus are well organized.",positive
"In my opinion, great campus food options.",positive
I think professors are very supportive.,positive
I feel that not enough study rooms available.,negative
"In my opinion, great campus food options.",positive
professors are very supportive.,positive
parking is always a nightmare.,negative
"Overall, great campus food options.",positive
"In my opinion, loved the lab facilities.",positive
"Honestly, cafeteria food is terrible.",negative
I think great campus food options.,positive
I feel that not enough study rooms available.,negative
I think clean and modern classrooms.,positive
