text,label
"poor customer service, avoid this.",negative
"Regrettably, defective product, very frustrating.",negative
"To be frank, cheaply made and falls apart.",negative
"Regrettably, cheaply made and falls apart.",negative
"I must say, great product, highly recommend!",positive
"Unfortunately, poor customer service, avoid this.",negative
"Regrettably, defective product, very frustrating.",negative
"Unfortunately, worst purchase ever, total waste.",negative
"To be frank, horrible, wish i could return it.",negative
"I must say, absolutely fantastic, exceeded expectations!",positive
"Unfortunately, cheaply made and falls apart.",negative
Truly love it! perfect for my needs.,positive
"Unfortunately, awful experience, would not recommend.",negative
"terrible quality, broke after a day.",negative
"Regrettably, cheaply made and falls apart.",negative
"Regrettably, very disappointed, does not work.",negative
"Honestly, excellent quality and fast shipping.",positive
"Sadly, worst purchase ever, total waste.",negative
"Regrettably, defective product, very frustrating.",negative
Really outstanding performance and design.,positive
"Sadly, poor customer service, avoid this.",negative
Really very satisfied with this.,positive
"Truly great product, highly recommend!",positive
"Regrettably, defective product, very frustrating.",negative
"top notch quality, great value.",positive
"great product, highly recommend!",positive
"Honestly, wonderful customer service.",positive
"Regrettably, complete garbage, want a refund.",negative
"Regrettably, cheaply made and falls apart.",negative
"Unfortunately, cheaply made and falls apart.",negative
Really very satisfied with this.,positive
Truly wonderful customer service.,positive
"complete garbage, want a refund.",negative
"I must say, wonderful customer service.",positive
Truly very satisfied with this.,positive
Really outstanding performance and design.,positive
"Unfortunately, complete garbage, want a refund.",negative
"complete garbage, want a refund.",negative
"not as described, very misleading.",negative
"I must say, love it! perfect for my needs.",positive
"Really top notch quality, great value.",positive
"I must say, outstanding performance and design.",positive
"Honestly, top notch quality, great value.",positive
"Unfortunately, awful experience, would not recommend.",negative
"Really great product, highly recommend!",positive
"I must say, best purchase i've made this year.",positive
"Sadly, very disappointed, does not work.",negative
"Unfortunately, complete garbage, want a refund.",negative
love it! perfect for my needs.,positive
"Sadly, awful experience, would not recommend.",negative
"terrible quality, broke after a day.",negative
"To be frank, very disappointed, does not work.",negative
"Really absolutely fantastic, exceeded expectations!",positive
"To be frank, cheaply made and falls apart.",negative
"Truly great product, highly recommend!",positive
"Honestly, love it! perfect for my needs.",positive
"To be frank, very disappointed, does not work.",negative
outstanding performance and design.,positive
Really wonderful customer service.,positive
"To be frank, very disappointed, does not work.",negative
"top notch quality, great value.",positive
"I must say, love it! perfect for my needs.",positive
"poor customer service, avoid this.",negative
best purchase i've made this year.,positive
"complete garbage, want a refund.",negative
"terrible quality, broke after a day.",negative
"Regrettably, terrible quality, broke after a day.",negative
"Unfortunately, cheaply made and falls apart.",negative
"I must say, outstanding performance and design.",positive
"Regrettably, poor customer service, avoid this.",negative
"I must say, wonderful customer service.",positive
excellent quality and fast shipping.,positive
cheaply made and falls apart.,negative
"Sadly, cheaply made and falls apart.",negative
"Honestly, very satisfied with this.",positive
Truly love it! perfect for my needs.,positive
"Sadly, not as described, very misleading.",negative
"I must say, amazing experience, will buy again.",positive
"To be frank, worst purchase ever, total waste.",negative
"I must say, best purchase i've made this year.",positive
"To be frank, horrible, wish i could return it.",negative
"Honestly, excellent quality and fast shipping.",positive
Really outstanding performance and design.,positive
Truly very satisfied with this.,positive
Truly best purchase i've made this year.,positive
"Unfortunately, not as described, very misleading.",negative
"Unfortunately, worst purchase ever, total waste.",negative
"To be frank, poor customer service, avoid this.",negative
"worst purchase ever, total waste.",negative
Really love it! perfect for my needs.,positive
outstanding performance and design.,positive
"great product, highly recommend!",positive
"Unfortunately, worst purchase ever, total waste.",negative
"I must say, excellent quality and fast shipping.",positive
"Sadly, awful experience, would not recommend.",negative
"Honestly, great product, highly recommend!",positive
"Sadly, cheaply made and falls apart.",negative
Really love it! perfect for my needs.,positive
"I must say, amazing experience, will buy again.",positive
"Sadly, poor customer service, avoid this.",negative
"Unfortunately, complete garbage, want a refund.",negative
"I must say, best purchase i've made this year.",positive
"awful experience, would not recommend.",negative
best purchase i've made this year.,positive
"Unfortunately, awful experience, would not recommend.",negative
"Regrettably, not as described, very misleading.",negative
"Regrettably, terrible quality, broke after a day.",negative
"Sadly, not as described, very misleading.",negative
"Really top notch quality, great value.",positive
"Unfortunately, terrible quality, broke after a day.",negative
"To be frank, worst purchase ever, total waste.",negative
"Regrettably, worst purchase ever, total waste.",negative
"Regrettably, terrible quality, broke after a day.",negative
"Regrettably, not as described, very misleading.",negative
Truly very satisfied with this.,positive
"absolutely fantastic, exceeded expectations!",positive
Really wonderful customer service.,positive
"Sadly, cheaply made and falls apart.",negative
"complete garbage, want a refund.",negative
"Honestly, absolutely fantastic, exceeded expectations!",positive
"Unfortunately, horrible, wish i could return it.",negative
Really best purchase i've made this year.,positive
"Unfortunately, complete garbage, want a refund.",negative
Truly best purchase i've made this year.,positive
"Honestly, wonderful customer service.",positive
"Regrettably, terrible quality, broke after a day.",negative
"To be frank, awful experience, would not recommend.",negative
"Really absolutely fantastic, exceeded expectations!",positive
"Regrettably, terrible quality, broke after a day.",negative
"To be frank, complete garbage, want a refund.",negative
"To be frank, horrible, wish i could return it.",negative
"To be frank, poor customer service, avoid this.",negative
Really wonderful customer service.,positive
"To be frank, terrible quality, broke after a day.",negative
"complete garbage, want a refund.",negative
Really excellent quality and fast shipping.,positive
"Honestly, excellent quality and fast shipping.",positive
"Honestly, excellent quality and fast shipping.",positive
Really love it! perfect for my needs.,positive
"Honestly, outstanding performance and design.",positive
Really outstanding performance and design.,positive
Really outstanding performance and design.,positive
"To be frank, terrible quality, broke after a day.",negative
"Really great product, highly recommend!",positive
"complete garbage, want a refund.",negative
"Regrettably, very disappointed, does not work.",negative
cheaply made and falls apart.,negative
"I must say, love it! perfect for my needs.",positive
